level,level_factor,xp_total,xp_this_level,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
1,1.0,0,0,158,343,739,1584,3432,79,145,251,422,686,4.6,6.2,8.27,11.03,14.71,106,191,330,554,898,21.4,22.4,23.3,24.2,24.9,26.4,44.9,76.6,129.4,219.1,15.0,25.5,43.5,73.4,124.4
2,1.08,40,40,171,371,798,1711,3707,86,157,271,456,741,4.78,6.45,8.6,11.46,15.28,114,207,356,599,969,21.6,22.6,23.5,24.3,25.0,28.5,48.5,82.7,139.7,236.6,15.9,27.1,46.2,78.1,132.3
3,1.166,160,120,185,400,862,1848,4003,92,169,293,493,801,4.96,6.7,8.93,11.91,15.88,123,223,385,647,1047,21.8,22.8,23.7,24.5,25.2,30.8,52.3,89.3,150.9,255.6,16.9,28.8,49.1,83.0,140.7
4,1.26,360,200,200,432,931,1995,4323,100,183,316,532,865,5.16,6.96,9.28,12.38,16.51,133,241,416,698,1131,22.0,23.0,23.8,24.6,25.3,33.3,56.5,96.4,163.0,276.0,18.0,30.6,52.3,88.3,149.6
5,1.36,640,280,216,467,1006,2155,4669,108,198,341,575,934,5.36,7.24,9.65,12.86,17.15,144,260,449,754,1221,22.2,23.2,24.0,24.8,25.5,35.9,61.1,104.2,176.0,298.1,19.2,32.6,55.6,93.9,159.1
6,1.469,1000,360,233,504,1086,2327,5043,116,213,369,621,1009,5.57,7.52,10.03,13.37,17.83,155,281,485,815,1319,22.4,23.3,24.2,24.9,25.6,38.8,65.9,112.5,190.1,322.0,20.4,34.7,59.1,99.9,169.2
7,1.587,1440,440,251,545,1173,2514,5446,126,230,398,670,1089,5.79,7.82,10.42,13.89,18.53,168,304,524,880,1424,22.6,23.5,24.3,25.0,25.7,41.9,71.2,121.5,205.3,347.7,21.7,36.9,62.9,106.2,180.0
8,1.714,1960,520,271,588,1267,2715,5882,136,249,430,724,1176,6.02,8.12,10.83,14.44,19.25,181,328,566,950,1538,22.8,23.7,24.5,25.2,25.8,45.2,76.9,131.2,221.7,375.5,23.1,39.2,66.9,113.0,191.4
9,1.851,2560,600,293,635,1368,2932,6352,147,269,464,782,1270,6.25,8.44,11.25,15.01,20.01,195,354,611,1026,1661,23.0,23.8,24.6,25.3,26.0,48.9,83.1,141.7,239.4,405.6,24.5,41.7,71.1,120.2,203.5
10,1.999,3240,680,317,686,1478,3166,6861,158,290,501,844,1372,6.5,8.77,11.7,15.59,20.79,211,383,660,1108,1794,23.2,24.0,24.8,25.5,26.1,52.8,89.7,153.0,258.6,438.0,26.1,44.3,75.6,127.8,216.5
