level,level_factor,xp_total,xp_this_level,hull_light,hull_medium,hull_heavy,hull_super_heavy,hull_super_heavy_plus,shield_hp_mk1,shield_hp_mk2,shield_hp_mk3,shield_hp_mk4,shield_hp_mk5,shield_regen_mk1,shield_regen_mk2,shield_regen_mk3,shield_regen_mk4,shield_regen_mk5,armor_hp_mk1,armor_hp_mk2,armor_hp_mk3,armor_hp_mk4,armor_hp_mk5,armor_dr_mk1,armor_dr_mk2,armor_dr_mk3,armor_dr_mk4,armor_dr_mk5,dps_mk1,dps_mk2,dps_mk3,dps_mk4,dps_mk5,dot_dps_mk1,dot_dps_mk2,dot_dps_mk3,dot_dps_mk4,dot_dps_mk5
1,1.0,0,0,108,234,504,1080,2340,54,99,171,288,468,3.79,5.12,6.83,9.11,12.14,72,130,225,378,612,11.4,13.8,15.8,17.5,18.9,18.0,30.6,52.2,88.2,149.4,11.0,18.8,32.0,54.0,91.5
2,1.08,40,40,117,253,544,1166,2527,58,107,185,311,505,3.94,5.32,7.1,9.46,12.62,78,141,243,408,661,11.9,14.2,16.1,17.8,19.2,19.4,33.0,56.4,95.3,161.4,11.7,19.9,34.0,57.5,97.4
3,1.166,160,120,126,273,588,1260,2729,63,115,199,336,546,4.1,5.53,7.38,9.84,13.11,84,152,262,441,714,12.4,14.6,16.5,18.1,19.5,21.0,35.7,60.9,102.9,174.3,12.5,21.2,36.2,61.1,103.5
4,1.26,360,200,136,295,635,1360,2948,68,125,215,363,590,4.26,5.75,7.67,10.22,13.63,91,164,283,476,771,12.9,15.0,16.8,18.4,19.7,22.7,38.5,65.8,111.1,188.2,13.3,22.6,38.5,65.0,110.1
5,1.36,640,280,147,318,686,1469,3184,73,135,233,392,637,4.43,5.98,7.97,10.62,14.16,98,178,306,514,833,13.3,15.4,17.1,18.7,20.0,24.5,41.6,71.0,120.0,203.3,14.1,24.0,40.9,69.1,117.1
6,1.469,1000,360,159,344,741,1587,3438,79,145,251,423,688,4.6,6.21,8.28,11.04,14.72,106,192,331,555,899,13.8,15.8,17.5,18.9,20.2,26.4,45.0,76.7,129.6,219.5,15.0,25.5,43.5,73.5,124.6
7,1.587,1440,440,171,371,800,1714,3713,86,157,271,457,743,4.78,6.45,8.6,11.47,15.3,114,207,357,600,971,14.2,16.1,17.8,19.2,20.5,28.6,48.6,82.8,140.0,237.1,16.0,27.1,46.3,78.2,132.5
8,1.714,1960,520,185,401,864,1851,4010,93,170,293,494,802,4.97,6.71,8.94,11.92,15.9,123,224,386,648,1049,14.6,16.5,18.1,19.5,20.7,30.8,52.4,89.5,151.2,256.0,17.0,28.9,49.2,83.2,140.9
9,1.851,2560,600,200,433,933,1999,4331,100,183,317,533,866,5.16,6.97,9.29,12.39,16.52,133,242,416,700,1133,15.0,16.8,18.4,19.7,21.0,33.3,56.6,96.6,163.3,276.5,18.1,30.7,52.3,88.4,149.8
10,1.999,3240,680,216,468,1007,2159,4678,108,198,342,576,936,5.37,7.24,9.66,12.88,17.17,144,261,450,756,1223,15.4,17.1,18.7,20.0,21.2,36.0,61.2,104.3,176.3,298.7,19.2,32.6,55.7,94.1,159.3
11,2.159,4000,760,233,505,1088,2332,5052,117,214,369,622,1010,5.58,7.53,10.04,13.38,17.84,155,282,486,816,1321,15.8,17.5,18.9,20.2,21.4,38.9,66.1,112.7,190.4,322.5,20.4,34.7,59.2,100.0,169.5
12,2.332,4840,840,252,546,1175,2518,5456,126,231,399,672,1091,5.79,7.82,10.43,13.91,18.54,168,304,525,881,1427,16.1,17.8,19.2,20.5,21.6,42.0,71.3,121.7,205.7,348.3,21.7,36.9,63.0,106.4,180.2
13,2.518,5760,920,272,589,1269,2720,5893,136,249,431,725,1179,6.02,8.13,10.84,14.45,19.27,181,329,567,952,1541,16.5,18.1,19.5,20.7,21.8,45.3,77.1,131.4,222.1,376.2,23.1,39.3,67.0,113.1,191.7
14,2.72,6760,1000,294,636,1371,2937,6364,147,269,465,783,1273,6.26,8.45,11.26,15.02,20.03,196,355,612,1028,1664,16.8,18.4,19.7,21.0,22.0,49.0,83.2,142.0,239.9,406.3,24.6,41.7,71.2,120.3,203.8
15,2.937,7840,1080,317,687,1480,3172,6873,159,291,502,846,1375,6.5,8.78,11.71,15.61,20.81,211,383,661,1110,1798,17.1,18.7,20.0,21.2,22.2,52.9,89.9,153.3,259.1,438.8,26.1,44.4,75.7,128.0,216.8
16,3.172,9000,1160,343,742,1599,3426,7423,171,314,542,914,1485,6.76,9.12,12.17,16.22,21.63,228,414,714,1199,1941,17.5,18.9,20.2,21.4,22.4,57.1,97.1,165.6,279.8,473.9,27.8,47.2,80.5,136.1,230.5
17,3.426,10240,1240,370,802,1727,3700,8017,185,339,586,987,1603,7.02,9.48,12.64,16.86,22.48,247,447,771,1295,2097,17.8,19.2,20.5,21.6,22.6,61.7,104.8,178.8,302.2,511.8,29.5,50.2,85.7,144.7,245.2
